Competition,Year,Gender,Athlete,Stance,Run,TrickID,Switch,Direction,SpinDegrees,DoubleCork,TripleCork,Rodeo,Grab,Difficulty,JumpScore,JumpID
Aspen WC,2025,M,BOUCHARD Eli,G,1,b-18-Ng,N,b,1800,N,N,N,Ng,9,89.75,A
Aspen WC,2025,M,BOUCHARD Eli,G,2,T-Mo,N,f,,N,Y,N,,,93.0,B
Aspen WC,2025,M,BOUCHARD Eli,G,3,b-19-Ng,N,b,1980,N,N,N,Ng,10,96.0,A
Aspen WC,2025,M,HASEGAWA Taiga,R,1,Cab-18-Wed,Y,Cab,1800,N,N,N,Wed,9.5,89.5,A
Aspen WC,2025,M,HASEGAWA Taiga,R,2,f-18-I,N,f,1800,N,N,N,I,9,85.25,B
Aspen WC,2025,M,HASEGAWA Taiga,R,3,f-19-I,N,f,1980,N,N,N,I,10,95.0,B
Aspen WC,2025,M,MIYAMURA Yuto,R,1,b-18-Me,N,b,1800,N,N,N,Me,9,88.75,A
Aspen WC,2025,M,MIYAMURA Yuto,R,2,f-16-I,N,f,1600,N,N,N,I,8,31.0,B
Aspen WC,2025,M,MIYAMURA Yuto,R,3,f-16-I,N,f,1600,N,N,N,I,8,82.5,B
Aspen WC,2025,M,MARTIN Oliver,R,1,b-D-10,N,b,1080,Y,N,N,,7.5,42.0,A
Aspen WC,2025,M,MARTIN Oliver,R,2,b-T-18-I,N,b,1800,N,Y,N,I,10,93.25,A
Aspen WC,2025,M,MARTIN Oliver,R,3,f-T-18-Wed,N,f,1800,N,Y,N,Wed,10,77.5,B
Aspen WC,2025,M,GERARD Redmond,R,1,x-b-16-Wed,Y,b,1600,N,N,N,Wed,8.5,81.0,A
Aspen WC,2025,M,GERARD Redmond,R,2,b-18-Me,N,b,1800,N,N,N,Me,9,87.0,B
Aspen WC,2025,M,McMORRIS Mark,R,1,x-b-16-Me,Y,b,1600,N,N,N,Me,8.5,78.75,A
Aspen WC,2025,M,McMORRIS Mark,R,2,b-16-I,N,b,1600,N,N,N,I,8,82.5,B
Aspen WC,2025,M,BREARLEY Liam,G,1,x-b-16-Wed,Y,b,1600,N,N,N,Wed,8.5,18.0,A
Aspen WC,2025,M,BREARLEY Liam,G,2,Cab-18-I,Y,Cab,1800,N,N,N,I,9.5,77.75,B
Aspen WC,2025,M,BREARLEY Liam,G,3,x-b-12-Wed,Y,b,1260,N,N,N,Wed,7.5,59.5,A
Aspen WC,2025,M,CORNING Chris,G,1,b-18-Me,N,b,1800,N,N,N,Me,9,89.0,A
Aspen WC,2025,M,CORNING Chris,G,2,f-18-Me,N,f,1800,N,N,N,Me,9,45.25,B
Aspen WC,2025,M,KIMURA Kira,R,1,b-19-Me,N,b,1980,N,N,N,Me,10,20.75,A
Aspen WC,2025,M,KIMURA Kira,R,2,b-14-Me,N,b,1440,N,N,N,Me,8,33.75,A
Aspen WC,2025,M,KIMURA Kira,R,3,x-b-18-Ddr,Y,b,1800,N,N,N,Ddr,9.5,78.0,B
Aspen WC,2025,M,KIRKHUS Oyvind,R,1,f-T-18-I,N,f,1800,N,Y,N,I,10,21.25,A
Aspen WC,2025,M,KIRKHUS Oyvind,R,2,f-T-18-I,N,f,1800,N,Y,N,I,10,91.25,A
Aspen WC,2025,M,KIRKHUS Oyvind,R,3,b-T-14-I,N,b,1440,N,Y,N,I,10,15.0,B
Aspen WC,2025,M,SU Yiming,G,1,b-18-I,N,b,1800,N,N,N,I,9,86.0,A
Aspen WC,2025,M,SU Yiming,G,2,x-b-16-Me,Y,b,1600,N,N,N,Me,8.5,80.0,B
Aspen WC,2025,M,SU Yiming,G,3,b-18-I,N,b,1800,N,N,N,I,9,88.0,A
Aspen WC,2025,M,ROISLAND Mons,R,1,x-b-12-Me,Y,b,1260,N,N,N,Me,7.5,49.5,A
Aspen WC,2025,M,ROISLAND Mons,R,2,x-b-19-Me,Y,b,1980,N,N,N,Me,10,78.5,A
Aspen WC,2025,M,ROISLAND Mons,R,3,b-18-Me,N,b,1800,N,N,N,Me,9,87.75,B
Aspen WC,2025,M,MENZIES Dane,G,1,f-D-18-Tg,N,f,1800,Y,N,N,Tg,10,87.5,A
